,word,onset,offset
412,niet,136.98,137.13
413,hoe,137.38,137.59
414,het,137.59,137.67
415,zich,137.67,137.82
416,zou,137.82,138.02
417,wenden,138.02,138.38
418,of,138.38,138.48
419,keren,138.54,138.89
420,Het,139.54,139.65
421,was,139.65,139.83
422,treurig,139.83,140.39
423,omdat,140.54,140.76
424,het,140.82,140.87
425,er,140.87,141.04
426,lelijk,141.04,141.34
427,uitzag,141.34,141.83
428,en,142.03,142.15
429,door,142.15,142.31
430,al,142.31,142.49
431,de,142.49,142.54
432,anderen,142.54,142.94
433,bespot,142.94,143.29
434,werd,143.29,143.45
435,Zo,145.39,145.58
436,ging,145.58,145.82
437,het,145.82,145.90499
438,de,145.90499,145.95998
439,eerste,145.95998,146.35
440,dag,146.35,146.68
441,En,147.03,147.21
442,later,147.21,147.52
443,werd,147.82,147.97
444,het,148.07,148.1
445,al,148.1,148.21
446,erger,148.31,148.71
447,en,148.81,148.89
448,erger,148.89,149.31
449,Het,150.02,150.18
450,arme,150.18,150.47
451,eendje,150.47,150.9
452,werd,150.9,151.05
453,door,151.05,151.16
454,allen,151.27,151.48
455,geplaagd,151.48,151.99
456,Zelfs,152.61,152.84
457,zijn,152.84,153.01
458,zusters,153.01,153.44
459,waren,153.44,153.66
460,kwaad,153.66,153.98
461,op,153.98,154.08
462,hem,154.08,154.32
463,en,154.49,154.61
464,zeiden,154.61,154.81
465,steeds,154.81,155.24
466,Mocht,156.07,156.36
467,de,156.36,156.41
468,kat,156.53,156.74
469,je,156.74,156.83
470,maar,156.83,156.97
471,beetpakken,156.97,157.5
472,jou,157.72,157.88
473,lelijk,157.88,158.19
474,schepsel,158.19,158.77
475,En,159.65,159.78
476,de,159.78,159.83
477,moeder,159.83,160.13
478,zei,160.13,160.45
479,Ik,161.18,161.38
480,wou,161.38,161.7
481,dat,161.86,162.02
482,je,162.02,162.1
483,maar,162.1,162.26
484,ver,162.26,162.65
485,hiervandaan,162.65,163.25
486,waart,163.25,163.53
487,De,164.62,164.7
488,eenden,164.7,165.19
489,beten,165.19,165.59
490,het,165.59,165.67
491,En,166.0,166.11
492,de,166.11,166.17
493,kippen,166.25,166.56
494,pikten,166.65,166.96
495,het,166.96,167.07
496,En,167.55,167.66
497,de,167.66,167.72
498,meid,167.72,168.04
499,die,168.23,168.33
500,de,168.33,168.42
501,beesten,168.42,168.79
502,eten,168.79,169.06
503,moest,169.06,169.25
504,geven,169.25,169.61
505,schopte,169.85,170.34
506,het,170.34,170.41
507,Nu,171.55,171.81
508,liep,171.81,172.01
509,het,172.01,172.09
510,weg,172.09,172.37
511,en,172.59,172.73
512,vloog,172.73,173.0
513,over,173.0,173.21
514,de,173.21,173.25
515,schutting,173.25,173.64
516,De,174.39,174.47
517,vogeltjes,174.47,174.93
518,in,174.93,174.99
519,het,174.99,175.06
520,geboomte,175.06,175.59
521,vlogen,175.81,176.15
522,daardoor,176.15,176.42
523,verschrikt,176.42,176.85
524,op,176.85,176.94
525,Dat,178.18,178.31
526,komt,178.37,178.64
527,omdat,178.87,179.1
528,ik,179.1,179.19
529,zo,179.19,179.37
530,lelijk,179.37,179.73
531,ben,179.73,180.09
532,dacht,180.41,180.59
