,word,onset,offset
339,beneden,125.84,126.31
340,Maar,126.31,126.48
341,de,126.48,126.56
342,honger,126.56,126.84
343,plaagde,126.84,127.19
344,hem,127.19,127.32
345,geweldig,127.32,127.92
346,en,128.3,128.41
347,hij,128.41,128.55
348,dacht,128.55,128.92
349,als,129.94,130.12
350,ik,130.12,130.2
351,mij,130.2,130.35
352,maar,130.35,130.45
353,eens,130.45,130.58
354,flink,130.58,130.9
355,verzadigen,130.9,131.55
356,kon,131.55,131.98
357,En,134.37,134.55
358,daar,134.55,134.97
359,zag,135.53,135.76
360,hij,135.76,135.83
361,opeens,135.83,136.33
362,onder,136.33,136.61
363,de,136.61,136.76
364,boom,136.76,137.06
365,tot,137.12,137.26
366,zijn,137.26,137.37
367,grote,137.37,137.85
368,verbazing,137.85,138.48
369,een,138.48,138.56
370,tafel,138.63,139.15
371,die,139.68,139.79
372,rijkelijk,139.79,140.32
373,bezet,140.32,140.67
374,was,140.67,140.84
375,met,140.84,140.97
376,spijzen,140.97,141.46
377,Nu,142.69,142.76
378,is,143.23,143.52
379,mijn,143.52,143.71
380,wens,143.71,143.97
381,toch,143.97,144.13
382,vervuld,144.13,144.56
383,geworden,144.56,145.06
384,dacht,145.36,145.62
385,hij,145.62,145.86
386,En,146.32,146.42
387,zonder,146.42,146.76
388,te,146.76,146.9
389,vragen,146.9,147.39
390,wie,147.39,147.54
391,het,147.54,147.6
392,eten,147.6,147.86
393,gebracht,147.86,148.43
394,en,148.77,148.91
395,wie,148.91,149.04
396,het,149.04,149.11
397,gekookt,149.11,149.63
398,had,149.63,149.88
399,ging,150.31,150.47
400,hij,150.47,150.53
401,naar,150.53,150.75
402,het,150.75,150.86
403,tafeltje,150.86,151.41
404,en,151.74,151.89499
405,at,151.89499,152.08
406,hij,152.08,152.36
407,tot,152.36,152.5
408,hij,152.5,152.6
409,verzadigd,152.6,153.13
410,was,153.13,153.49
411,Toen,155.15,155.24
412,hij,156.27,156.48
413,klaar,156.48,156.76
414,was,156.76,156.93
415,dacht,156.93,157.15
416,hij,157.15,157.43
417,Het,157.58,157.62
418,zou,157.85,158.0
419,toch,158.0,158.1
420,jammer,158.17,158.39
421,zijn,158.39,158.78
422,als,158.78,158.92
423,dat,158.92,159.07
424,mooie,159.07,159.29
425,tafellakentje,159.35,160.2
426,hier,160.2,160.43
427,in,160.43,160.49
428,het,160.49,160.54
429,bos,160.54,160.79
430,bleef,160.79,161.09499
431,liggen,161.09499,161.31
432,bederven,161.31,162.15
433,En,163.0,163.11
434,hij,163.11,163.18
435,vouwde,163.18,163.56
436,het,163.56,163.62
437,netjes,163.62,163.98
438,op,163.98,164.17
439,en,164.17,164.22
440,stak,164.22,164.5
441,het,164.5,164.61
442,in,164.61,164.7
443,zijn,164.7,164.77
444,zak,164.77,165.12
445,Daarna,166.16,166.42
446,ging,166.42,166.64
447,hij,166.64,166.68
448,verder,166.68,167.09
449,En,167.09,167.15
450,’s,167.15,167.29
451,avonds,167.29,167.79
452,toen,167.79,167.96
453,hij,167.96,168.06
454,weer,168.06,168.18
455,hongerig,168.18,168.55
456,werd,168.55,168.83
457,wilde,169.2,169.46
458,hij,169.46,169.55
459,zijn,169.55,169.67
460,tafellakentje,169.74,170.53
461,eens,170.53,170.75
462,op,170.75,170.82
463,de,170.82,170.92
464,proef,170.92,171.2
465,stellen,171.2,171.49
466,Hij,172.92,173.06
467,legde,173.06,173.47
468,het,173.47,173.52
469,uit,173.52,173.95
470,en,174.09,174.19
471,zeide,174.19,174.8
472,nu,175.54,175.8
473,wens,175.8,176.13
474,ik,176.13,176.25
475,dat,176.61,176.81
476,je,176.81,176.9
477,weer,176.9,177.02
478,eens,177.02,177.17
479,met,177.17,177.37
480,lekker,177.37,177.61
481,eten,177.61,177.91
482,gedekt,177.91,178.18
483,wordt,178.29,178.61
484,En,180.11,180.22
485,hij,180.22,180.26
486,had,180.26,180.5
487,niet,180.5,180.63
488,uitgesproken,180.63,181.37
489,of,181.37,181.56
490,er,181.56,181.59
491,stonden,181.59,181.89
492,vele,181.89,182.34
493,schotels,182.34,182.85
494,op,182.85,183.04
495,met,183.36,183.48
496,het,183.48,183.59
497,heerlijkste,183.59,184.14
498,eten,184.14,184.58
499,zodat,184.87,185.18
500,het,185.18,185.26
501,helemaal,185.31,185.74
502,vol,185.74,186.15
503,was,188.1,188.28
504,Nu,188.78,189.05
505,merk,189.05,189.4
506,ik,189.4,189.58
507,in,189.58,189.69
508,welke,189.69,189.94
509,keuken,189.94,190.22
510,er,190.22,190.38
511,voor,190.38,190.49
512,mij,190.49,190.67
513,gekookt,190.67,191.08
514,wordt,191.08,191.44
515,Jij,191.8,192.03
516,zult,192.03,192.3
517,mij,192.3,192.43
518,liever,192.43,192.68
519,zijn,192.68,192.97
520,dan,192.97,193.08
521,een,193.08,193.16
522,berg,193.16,193.51
523,zilver,193.51,193.9
524,of,193.9,194.02
525,goud,194.02,194.45
526,Want,195.13,195.28
527,hij,195.28,195.38
528,zag,195.38,195.64
529,wel,195.64,195.93
530,dat,195.93,196.11
531,het,196.11,196.24
532,een,196.24,196.31
533,tafeltje-dek-je,196.31,197.14
534,was,197.14,197.55
535,Maar,199.21,199.35
536,het,199.35,199.42
537,tafeltje,199.51,200.09
538,was,200.09,200.32
539,hem,200.32,200.43
540,toch,200.43,200.59
541,nog,200.59,200.76
542,niet,200.76,200.87
543,genoeg,200.87,201.32
544,om,201.32,201.46
545,er,201.46,201.56
546,rustig,201.56,201.88
547,mee,201.88,202.01
548,thuis,202.08,202.36
549,te,202.36,202.45
550,gaan,202.45,202.61
551,zitten,202.61,202.91
552,Hij,203.57,203.71
553,wou,203.71,203.87
554,liever,203.87,204.11
555,nog,204.11,204.26
556,wat,204.26,204.47
557,in,204.47,204.56
558,de,204.56,204.61
559,wereld,204.61,204.92
560,rondtrekken,204.92,205.47
561,en,205.76,205.92
562,nog,205.92,206.11
563,meer,206.11,206.25
564,geluk,206.25,206.56
565,zoeken,206.56,206.94
566,Op,208.07,208.14
567,een,209.18,209.21
568,avond,209.69,210.46
569,ontmoette,210.46,210.88
570,hij,210.88,211.19
571,in,211.19,211.31
572,een,211.31,211.38
573,eenzaam,211.44,211.88
574,bos,211.88,212.17
575,een,212.17,212.22
576,kolenbrander,212.22,213.01
577,Hij,213.64,213.8
578,brandde,213.8,214.07
579,kolen,214.07,214.54
580,en,214.71,214.76
581,had,214.76,214.89
582,aardappelen,214.89,215.4
583,op,215.4,215.5
584,het,215.5,215.59
585,vuur,215.59,215.8
586,staan,215.8,216.22
587,Daarmee,216.72,216.97
588,zou,216.97,217.17
589,hij,217.17,217.27
590,zijn,217.27,217.43
591,maaltijd,217.43,217.87
592,houden,217.87,218.26
593,Zo,219.58,220.14
594,goeden,220.41,220.65
595,avond,220.65,220.96
596,zwarte,220.96,221.26
597,lijster,221.26,221.82
598,zei,222.31,222.56
599,de,222.56,222.62
600,reiziger,222.62,223.19
601,Hoe,223.91,224.01
602,stel,224.01,224.34
603,je,224.34,224.62
604,het,224.62,224.71
605,al,224.71,224.94
606,in,224.94,225.02
607,je,225.02,225.11
608,eenzaamheid,225.11,225.81
609,De,228.08,228.45
610,ene,228.72,229.44
611,dag,229.44,229.81
612,als,229.81,230.04
613,de,230.04,230.22
614,anderen,230.22,230.73
615,antwoordde,231.26,231.71
616,de,231.71,231.79
617,kolenbrander,231.79,232.56
618,En,233.02,233.18
619,iedere,233.18,233.54
620,avond,233.54,233.84
621,aardappelen,233.84,234.53
622,Heb,234.96,235.17
623,je,235.17,235.25
624,zin,235.25,235.67
625,dan,235.91,236.0
626,kun,236.0,236.15
627,je,236.15,236.25
628,mijn,236.25,236.35
629,gast,236.35,236.64
630,zijn,236.64,237.02
631,Wel,238.41,238.54
632,bedankt,238.81,239.37
633,zei,239.37,239.55
634,de,239.55,239.58
635,andere,239.58,240.0
636,ik,240.6,240.75
637,zal,240.75,241.0
638,je,241.0,241.05
639,je,241.05,241.17
640,maal,241.17,241.43
641,niet,241.43,241.58
642,afnemen,241.58,242.25
643,Je,242.65,242.84
644,hebt,242.84,242.94
645,niet,242.94,243.15
646,op,243.15,243.25
647,een,243.25,243.29
648,gast,243.29,243.52
649,gerekend,243.52,244.26
650,Maar,245.04,246.11
651,neem,246.3,246.51
652,je,246.51,246.61
653,voor,246.61,246.78
654,lief,246.78,247.02
655,wat,247.02,247.19
656,ik,247.19,247.35
657,heb,247.35,247.54
658,dan,248.2,248.33
659,nood,248.33,248.61
660,ik,248.61,248.69
661,jou,248.69,248.96
662,Waar,250.28,250.5
663,moet,250.5,250.64
664,dat,250.64,250.84
665,vandaan,250.84,251.22
666,komen,251.22,251.71
667,zei,251.71,251.89
668,de,251.89,252.13
669,kolenbrander,252.13,252.91
670,Ik,253.42,253.57
671,zie,253.57,253.84
672,dat,253.84,254.0
673,je,254.0,254.06
674,niets,254.06,254.25
675,bij,254.25,254.5
676,je,254.5,254.62
677,hebt,254.62,254.95
678,En,255.36,255.48
679,een,255.48,255.54
680,paar,255.65,255.97
681,uur,255.97,256.04
682,in,256.04,256.25
683,de,256.25,256.3
684,omtrek,256.3,256.75
685,is,256.81,257.05
686,er,257.05,257.12
687,niemand,257.12,257.55
688,die,257.55,257.72
689,je,257.72,257.75
690,het,257.75,257.78
691,bezorgen,257.78,258.24
692,kan,258.29,258.66
693,En,260.63,260.71
694,toch,261.09,261.35
695,zal,261.35,261.58
696,het,261.58,261.72
697,een,261.72,261.81
698,maaltijd,261.81,262.25
699,zijn,262.25,262.66
700,zo,262.95,263.1
701,fijn,263.1,263.83
702,als,263.83,264.04
703,je,264.04,264.1
704,er,264.1,264.14
705,nog,264.14,264.27
706,nooit,264.27,264.69
707,een,264.69,264.97499
708,gegeten,264.97499,265.4
709,hebt,265.4,265.75
710,Hij,266.88,266.92
711,haalde,267.21,267.57
712,het,267.57,267.62
713,servetje,267.62,268.02
714,uit,268.02,268.2
715,zijn,268.2,268.34
716,ransel,268.34,268.84
717,legde,269.16,269.48
718,het,269.48,269.56
719,uit,269.56,269.94
720,en,270.21,270.27
721,zei,270.27,270.57
722,tafeltje-dek-je,271.07,271.93
723,En,272.73,272.87
724,op,272.87,273.02
725,eens,273.02,273.27
726,stond,273.27,273.54
727,er,273.54,273.61
728,gezoden,273.61,274.22
729,en,274.22,274.32
730,gebraden,274.32,274.94
731,en,275.25,275.34
732,zo,275.34,275.48
733,lekker,275.48,275.82
734,warm,275.96,276.24499
735,als,276.24499,276.48
736,kwam,276.48,276.64
737,het,276.64,276.67
738,pas,276.84,277.08
739,uit,277.08,277.33
740,de,277.33,277.36
741,keuken,277.42,277.77
742,De,280.25,280.32
743,kolenbrander,280.37,280.97
744,zette,280.97,281.21
745,grote,281.21,281.58
746,ogen,281.58,281.96
747,op,281.96,282.17
748,Hij,282.96,283.09
749,liet,283.09,283.24
750,zich,283.24,283.41
751,niet,283.41,283.62
752,lang,283.62,283.83
753,noden,283.83,284.17
754,maar,284.17,284.29
755,tastte,284.38,284.7
756,toe,284.79,284.97
757,En,285.34,285.42
758,gedurig,285.42,286.03
759,gingen,286.16,286.36
760,er,286.36,286.48
761,grotere,286.48,287.03
762,brokken,287.03,287.35
763,zijn,287.35,287.5
764,zwarte,287.5,287.85
765,snoet,287.85,288.06
766,binnen,288.13,288.34
767,Toen,289.3,289.42
768,zij,289.42,289.54
769,klaar,289.63,289.94
770,waren,289.94,290.29
771,monkelde,290.29,290.82
772,de,290.82,290.89
773,kolenbrander,290.89,291.61
774,en,291.61,291.76
775,zei,291.76,292.12
776,voor,293.04,293.24
777,dat,293.24,293.39
778,kleedje,293.39,293.78
779,ben,293.78,293.9
780,ik,293.9,293.99499
781,te,293.99499,294.1
782,vinden,294.1,294.54
783,Dat,294.89,295.08
784,was,295.08,295.28
785,iets,295.28,295.39
786,voor,295.39,295.54
787,mij,295.54,295.76
788,hier,295.76,296.0
789,in,296.0,296.12
790,’t,296.12,296.23
791,bos,296.23,296.5
792,waar,296.5,296.65
793,nooit,296.65,297.06
794,eens,297.06,297.22
795,iemand,297.22,297.46
796,iets,297.46,297.6
797,lekkers,297.6,297.91
798,voor,297.91,298.03
799,mij,298.03,298.19
800,kookt,298.19,298.54
801,Ik,299.18,299.27
802,zal,299.27,299.42
803,je,299.42,299.5
804,een,299.5,299.57
805,voorstel,299.57,300.04
806,doen,300.04,300.27
807,Wij,300.53,300.75
808,ruilen,300.8,301.26
809,Ik,301.92,302.06
810,heb,302.06,302.19
811,een,302.19,302.23
812,soldatenransel,302.23,303.32
813,Hij,303.7,303.82
814,is,303.82,303.98
815,oud,303.98,304.31
816,en,304.31,304.37
817,lelijk,304.37,304.92
818,maar,305.25,305.33
819,hij,305.33,305.37
820,heeft,305.37,305.59
821,een,305.59,305.72
822,wonderbare,305.72,306.41
823,kracht,306.41,306.99
824,Ik,308.07,308.19
825,gebruik,308.19,308.6
826,hem,308.6,308.69
827,toch,308.69,308.89
828,niet,308.89,309.15
829,En,309.32,309.43
830,ik,309.43,309.54
831,zal,309.54,309.69
832,hem,309.69,309.75
833,je,309.8,309.83499
834,geven,309.83499,310.1
835,voor,310.1,310.3
836,het,310.3,310.63
837,kleedje,312.32,312.6
838,Eerst,312.68,312.91
839,moet,312.91,313.09
840,ik,313.09,313.19
841,weten,313.19,313.59
842,wat,313.59,313.81
843,het,313.81,313.91
844,voor,313.91,314.08
845,wonderbare,314.08,314.68
846,krachten,314.68,315.01
847,zijn,315.01,315.36
848,antwoordde,315.6,316.08
849,de,316.08,316.11
850,ander,316.11,316.46
851,Dat,318.85,319.05
852,zal,319.05,319.17
853,ik,319.17,319.28
854,je,319.28,319.34
855,zeggen,319.34,319.68
856,Als,320.4,320.58
857,je,320.58,320.67
858,met,320.67,320.86
859,de,320.86,320.89
860,hand,320.89,321.18
861,erop,321.18,321.33
862,klopt,321.39,321.75
863,komt,322.16,322.4
864,er,322.4,322.45
865,telkens,322.55,323.06
866,korporaal,323.06,323.7
867,en,323.76,323.86
868,zes,323.86,324.18
869,man,324.18,324.36
870,met,324.36,324.49
871,sabel,324.49,324.87
872,en,324.87,324.95
873,geweer,325.0,325.36
874,En,325.81,325.91
875,wat,325.91,326.08
876,je,326.08,326.16
877,beveelt,326.16,326.7
878,dat,327.03,327.32
879,doen,327.32,327.5
880,ze,327.5,327.69
881,Nu,329.33,329.48
882,’t,329.93,329.97
883,is,329.97,330.12
884,goed,330.12,330.51
885,Als,331.21,331.39
886,’t,331.39,331.42
887,zo,331.42,331.77499
888,zijn,331.77499,331.99
889,moet,331.99,332.09
890,dan,332.43,332.57
891,zullen,332.57,332.82
892,wij,332.82,333.24
893,ruilen,333.24,333.4
894,En,334.01,334.15
895,hij,334.15,334.21
896,gaf,334.21,334.46
897,de,334.46,334.58
898,kolenbrander,334.58,335.27
899,het,335.27,335.37499
900,kleedje,335.37499,335.81
901,voor,335.81,335.98
902,een,335.98,336.08
903,ransel,336.08,336.6
904,en,336.72,336.79
905,nam,336.79,336.94
906,afscheid,336.94,337.44
907,Toen,339.1,339.28
908,hij,339.28,339.47
909,een,339.47,339.5
910,eindje,339.5,339.77
911,gelopen,339.77,340.24
912,had,340.24,340.58
913,wou,340.86,341.05
914,hij,341.05,341.19
915,de,341.19,341.28
916,wonderkracht,341.28,341.93
917,van,341.93,342.07
918,de,342.07,342.13
919,ransel,342.13,342.51
920,wel,342.51,342.6
921,eens,342.6,342.7
922,proberen,342.7,343.14
923,en,343.14,343.28
924,klopte,343.28,343.62
925,er,343.62,343.76
926,op,343.76,343.93
927,Dadelijk,344.74,345.14
928,stonden,345.14,345.45
929,er,345.45,345.49
930,zeven,345.49,345.89
931,krijgshelden,345.89,346.52
932,voor,346.52,346.8
933,hem,346.8,346.92
934,En,347.17,347.27
935,de,347.27,347.33
936,korporaal,347.33,347.89
937,vroeg,347.89,348.24
938,wat,348.62,348.91
939,verlangt,348.91,349.23
940,mijn,349.23,349.4
941,heer,349.4,349.65
942,en,349.65,349.7
943,gebieder,349.7,350.24
944,Marcheer,351.84,352.35
945,naar,352.35,352.51
946,de,352.51,352.61
947,kolenbrander,352.61,353.39
948,en,353.74,353.87
949,vraag,353.87,354.17
950,mijn,354.17,354.32
951,toverkleedje,354.32,354.95
952,terug,354.95,355.36
953,Zij,356.38,356.51
954,maakten,356.51,356.85
955,rechtsomkeert,356.85,357.67
956,en,358.03,358.17
957,in,358.17,358.29
958,een,358.29,358.38
959,ogenblik,358.38,358.94499
960,brachten,358.94499,359.42
961,zij,359.42,359.73
962,het,359.73,359.77
963,verlangde,359.77,360.36
964,Zij,361.13,361.26
965,hadden,361.26,361.47
966,het,361.47,361.58
967,de,361.58,361.67
968,kolenbrander,361.67,362.32
969,zonder,362.32,362.65
970,complimenten,362.65,363.14
971,afgenomen,363.14,363.84
972,Hij,364.89,365.01
973,dankte,365.01,365.31
974,ze,365.31,365.4
975,af,365.4,365.61
976,en,365.7,365.79
977,ging,365.79,365.99499
978,verder,365.99499,366.31
